lat,lng,field
47.95500,-123.83478,
47.95500,-123.83478,
47.95499,-123.83478,
47.95499,-123.83478,
47.95499,-123.83479,
47.95499,-123.83479,
47.95499,-123.83479,
47.95499,-123.83479,
47.95499,-123.83479,
47.95499,-123.83479,
47.95499,-123.83479,
47.95499,-123.83479,
47.95499,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95498,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95497,-123.83479,
47.95496,-123.83479,
47.95496,-123.83479,
47.95496,-123.83479,
47.95496,-123.83479,
47.95496,-123.83479,
47.95496,-123.83479,
47.95496,-123.83479,
47.95496,-123.83479,
47.95496,-123.83479,
47.95496,-123.83479,
47.95496,-123.83479,
47.95496,-123.83479,
47.95496,-123.83479,
47.95496,-123.83478,
47.95496,-123.83478,
47.95496,-123.83478,
47.95496,-123.83478,
47.95496,-123.83478,
47.95496,-123.83478,
47.95496,-123.83478,
47.95496,-123.83478,
47.95496,-123.83478,
47.95496,-123.83478,
47.95496,-123.83478,
47.95496,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95495,-123.83478,
47.95494,-123.83477,
47.95493,-123.83477,
47.95492,-123.83477,
47.95490,-123.83476,
47.95490,-123.83476,
47.95489,-123.83475,
47.95488,-123.83475,
47.95486,-123.83474,
47.95484,-123.83474,
47.95482,-123.83474,
47.95481,-123.83474,
47.95479,-123.83473,
47.95478,-123.83472,
47.95476,-123.83470,
47.95475,-123.83468,
47.95475,-123.83465,
47.95474,-123.83463,
47.95474,-123.83461,
47.95473,-123.83460,
47.95472,-123.83458,
47.95471,-123.83457,
47.95470,-123.83456,
47.95468,-123.83454,
47.95466,-123.83453,
47.95465,-123.83452,
47.95462,-123.83450,
47.95461,-123.83450,
47.95460,-123.83449,
47.95458,-123.83449,
47.95457,-123.83448,
47.95455,-123.83447,
47.95453,-123.83445,
47.95452,-123.83444,
47.95452,-123.83443,
47.95451,-123.83442,
47.95450,-123.83441,
47.95449,-123.83440,
47.95448,-123.83439,
47.95446,-123.83438,
47.95445,-123.83436,
47.95444,-123.83435,
47.95444,-123.83433,
47.95443,-123.83429,
47.95443,-123.83427,
47.95443,-123.83425,
47.95444,-123.83423,
47.95444,-123.83419,
47.95444,-123.83416,
47.95444,-123.83414,
47.95443,-123.83411,
47.95443,-123.83408,
47.95443,-123.83406,
47.95443,-123.83404,
47.95442,-123.83402,
47.95441,-123.83399,
47.95440,-123.83397,
47.95439,-123.83395,
47.95438,-123.83391,
47.95438,-123.83389,
47.95438,-123.83388,
47.95437,-123.83386,
47.95437,-123.83384,
47.95437,-123.83382,
47.95437,-123.83380,
47.95436,-123.83377,
47.95436,-123.83376,
47.95436,-123.83375,
47.95435,-123.83372,
47.95435,-123.83370,
47.95435,-123.83368,
47.95435,-123.83366,
47.95435,-123.83361,
47.95435,-123.83359,
47.95434,-123.83357,
47.95433,-123.83355,
47.95432,-123.83353,
47.95430,-123.83351,
47.95429,-123.83350,
47.95429,-123.83349,
47.95427,-123.83348,
47.95425,-123.83345,
47.95424,-123.83344,
47.95424,-123.83343,
47.95423,-123.83343,
47.95422,-123.83341,
47.95422,-123.83341,
47.95421,-123.83340,
47.95419,-123.83339,
47.95418,-123.83339,
47.95416,-123.83338,
47.95414,-123.83337,
47.95413,-123.83337,
47.95411,-123.83337,
47.95409,-123.83337,
47.95408,-123.83337,
47.95406,-123.83337,
47.95405,-123.83336,
47.95403,-123.83336,
47.95400,-123.83335,
47.95399,-123.83335,
47.95398,-123.83336,
47.95396,-123.83336,
47.95394,-123.83338,
47.95393,-123.83338,
47.95391,-123.83339,
47.95390,-123.83340,
47.95387,-123.83339,
47.95386,-123.83339,
47.95384,-123.83338,
47.95382,-123.83336,
47.95381,-123.83334,
47.95380,-123.83332,
47.95379,-123.83331,
47.95376,-123.83329,
47.95375,-123.83327,
47.95374,-123.83326,
47.95374,-123.83325,
47.95373,-123.83323,
47.95372,-123.83321,
47.95371,-123.83319,
47.95370,-123.83318,
47.95369,-123.83317,
47.95367,-123.83316,
47.95366,-123.83316,
47.95366,-123.83315,
47.95364,-123.83315,
47.95362,-123.83315,
47.95359,-123.83313,
47.95358,-123.83313,
47.95357,-123.83312,
47.95356,-123.83312,
47.95353,-123.83310,
47.95352,-123.83309,
47.95351,-123.83308,
47.95349,-123.83307,
47.95347,-123.83304,
47.95346,-123.83303,
47.95345,-123.83301,
47.95343,-123.83298,
47.95343,-123.83297,
47.95342,-123.83294,
47.95341,-123.83292,
47.95341,-123.83289,
47.95340,-123.83286,
47.95340,-123.83284,
47.95340,-123.83282,
47.95340,-123.83279,
47.95341,-123.83277,
47.95341,-123.83274,
47.95341,-123.83270,
47.95341,-123.83267,
47.95341,-123.83265,
47.95341,-123.83262,
47.95341,-123.83260,
47.95341,-123.83258,
47.95341,-123.83255,
47.95341,-123.83253,
47.95341,-123.83251,
47.95341,-123.83248,
47.95341,-123.83247,
47.95340,-123.83244,
47.95340,-123.83242,
47.95340,-123.83240,
47.95339,-123.83238,
47.95339,-123.83236,
47.95339,-123.83234,
47.95339,-123.83231,
47.95338,-123.83229,
47.95338,-123.83225,
47.95337,-123.83224,
47.95336,-123.83219,
47.95335,-123.83218,
47.95335,-123.83216,
47.95334,-123.83213,
47.95333,-123.83210,
47.95333,-123.83208,
47.95332,-123.83204,
47.95332,-123.83203,
47.95331,-123.83198,
47.95331,-123.83197,
47.95330,-123.83193,
47.95330,-123.83192,
47.95330,-123.83190,
47.95329,-123.83187,
47.95329,-123.83185,
47.95328,-123.83183,
47.95327,-123.83180,
47.95327,-123.83178,
47.95327,-123.83177,
47.95326,-123.83175,
47.95326,-123.83172,
47.95326,-123.83169,
47.95326,-123.83167,
47.95325,-123.83165,
47.95325,-123.83162,
47.95325,-123.83160,
47.95325,-123.83156,
47.95325,-123.83153,
47.95324,-123.83151,
47.95324,-123.83149,
47.95324,-123.83146,
47.95324,-123.83144,
47.95324,-123.83142,
47.95323,-123.83140,
47.95322,-123.83135,
47.95322,-123.83133,
47.95322,-123.83131,
47.95323,-123.83128,
47.95323,-123.83125,
47.95322,-123.83123,
47.95322,-123.83121,
47.95322,-123.83117,
47.95321,-123.83115,
47.95321,-123.83113,
47.95321,-123.83110,
47.95321,-123.83108,
47.95322,-123.83106,
47.95322,-123.83105,
47.95322,-123.83103,
47.95323,-123.83102,
47.95325,-123.83101,
47.95326,-123.83098,
47.95327,-123.83097,
47.95327,-123.83094,
47.95327,-123.83091,
47.95327,-123.83087,
47.95326,-123.83083,
47.95325,-123.83079,
47.95325,-123.83077,
47.95323,-123.83074,
47.95323,-123.83073,
47.95322,-123.83070,
47.95321,-123.83068,
47.95320,-123.83066,
47.95320,-123.83064,
47.95321,-123.83060,
47.95322,-123.83059,
47.95323,-123.83056,
47.95323,-123.83055,
47.95323,-123.83053,
47.95324,-123.83051,
47.95325,-123.83049,
47.95325,-123.83047,
47.95325,-123.83045,
47.95326,-123.83043,
47.95327,-123.83042,
47.95327,-123.83040,
47.95328,-123.83038,
47.95329,-123.83035,
47.95329,-123.83034,
47.95330,-123.83033,
47.95330,-123.83030,
47.95330,-123.83028,
47.95330,-123.83026,
47.95330,-123.83024,
47.95330,-123.83022,
47.95330,-123.83019,
47.95330,-123.83017,
47.95330,-123.83015,
47.95330,-123.83012,
47.95330,-123.83011,
47.95331,-123.83008,
47.95331,-123.83006,
47.95331,-123.83004,
47.95331,-123.83002,
47.95331,-123.83001,
47.95330,-123.82999,
47.95330,-123.82998,
47.95330,-123.82996,
47.95329,-123.82994,
47.95329,-123.82992,
47.95329,-123.82990,
47.95329,-123.82989,
47.95328,-123.82988,
47.95328,-123.82986,
47.95328,-123.82983,
47.95327,-123.82981,
47.95327,-123.82979,
47.95327,-123.82978,
47.95326,-123.82976,
47.95325,-123.82974,
47.95324,-123.82972,
47.95324,-123.82971,
47.95323,-123.82969,
47.95323,-123.82967,
47.95322,-123.82966,
47.95321,-123.82964,
47.95321,-123.82963,
47.95320,-123.82961,
47.95320,-123.82959,
47.95320,-123.82957,
47.95319,-123.82955,
47.95320,-123.82953,
47.95320,-123.82951,
47.95320,-123.82949,
47.95321,-123.82947,
47.95322,-123.82945,
47.95322,-123.82943,
47.95322,-123.82941,
47.95323,-123.82939,
47.95323,-123.82937,
47.95323,-123.82935,
47.95323,-123.82933,
47.95323,-123.82930,
47.95323,-123.82928,
47.95323,-123.82927,
47.95322,-123.82923,
47.95322,-123.82922,
47.95322,-123.82920,
47.95322,-123.82918,
47.95322,-123.82916,
47.95322,-123.82914,
47.95322,-123.82912,
47.95321,-123.82908,
47.95321,-123.82907,
47.95320,-123.82905,
47.95320,-123.82904,
47.95320,-123.82902,
47.95318,-123.82900,
47.95317,-123.82899,
47.95316,-123.82899,
47.95315,-123.82898,
47.95314,-123.82896,
